dataset,embedding,algorithm,ari,nmi,purity,silhouette,n_clusters,n_noise
20ng6,tfidf_svd,kmeans,0.10388807484276474,0.1949874295717225,0.3889265154080596,0.019044323843756435,6,0
20ng6,tfidf_svd,gmm,0.21143281792446902,0.3041038321295112,0.4971215712834406,-0.062478101503121636,6,0
20ng6,tfidf_svd,agglomerative,0.12032223570540027,0.24891873022231553,0.40450389434473416,-0.002125176300481931,6,0
20ng6,tfidf_svd,dbscan,0.0010727508064853667,0.02262215917221053,0.18811378259397224,0.15036597203666147,10,334
20ng6,tfidf_svd,spectral,0.09982825356504188,0.17510209260789575,0.3667456823569252,0.016508604275807758,6,0
20ng6,tfidf_svd,hdbscan,0.015767002815809155,0.04130159006832067,0.22637995259058585,0.058936486872240325,3,2113
20ng6,sbert,kmeans,0.5580033218001736,0.6068523957308133,0.7109718929901795,0.11214523762464523,6,0
20ng6,sbert,gmm,0.5957323917647243,0.6376734354861654,0.7285811039620724,0.11102430522441864,6,0
20ng6,sbert,agglomerative,0.4947387134248755,0.5663449687771325,0.6732136810023704,0.09909497946500778,6,0
20ng6,sbert,dbscan,0.0002881478396788468,0.0062733528816187895,0.18252624449712157,0.06976287066936493,3,262
20ng6,sbert,spectral,0.3468470372399413,0.5020618809584626,0.5560447003047748,0.06614835560321808,6,0
20ng6,sbert,hdbscan,7.195090319054048e-05,0.003352016915137532,0.17676938706400272,0.1056189090013504,4,99
20ng6,gte,kmeans,0.6144155890023484,0.6758469014699444,0.7375550287842871,0.13452890515327454,6,0
20ng6,gte,gmm,0.6378988592818893,0.6924216818704558,0.7485607856417202,0.13354085385799408,6,0
20ng6,gte,agglomerative,0.5465113017016118,0.6450856667938407,0.7074161869285472,0.12379472702741623,6,0
20ng6,gte,dbscan,0.0011393293149539044,0.01760628115696947,0.18912969861158144,-0.009719215333461761,6,231
20ng6,gte,spectral,0.6113909252203985,0.6623289946573833,0.740772096173383,0.13364242017269135,6,0
20ng6,gte,hdbscan,0.009680384709144261,0.02915896565113456,0.21723670843210294,0.03115835040807724,6,974
20ng6,bge,kmeans,0.3757863041872567,0.46298786556931376,0.571283440568913,0.10685407370328903,6,0
20ng6,bge,gmm,0.533043369635132,0.6075007357686532,0.6918388079918727,0.09609372168779373,6,0
20ng6,bge,agglomerative,0.45033123685185383,0.5246062809127642,0.6496782932610904,0.09680967032909393,6,0
20ng6,bge,dbscan,0.00034081168678405313,0.003650191765412414,0.17947849644429395,0.09435498714447021,2,278
20ng6,bge,spectral,0.24183392985435195,0.49343152263706164,0.45936335929563155,0.05549119785428047,6,0
20ng6,bge,hdbscan,0.0021830887555482456,0.009105153841239624,0.19166948865560446,0.08374585211277008,6,873
pt6,tfidf_svd,kmeans,0.666118149759702,0.735799862102966,0.8126984126984127,0.01702156844134429,6,0
pt6,tfidf_svd,gmm,0.666118149759702,0.735799862102966,0.8126984126984127,0.01702156844134429,6,0
pt6,tfidf_svd,agglomerative,0.6904204685442719,0.7845685339437549,0.8095238095238095,0.0184454228619376,6,0
pt6,tfidf_svd,dbscan,0.00018462716139988617,0.012807132682311827,0.19047619047619047,0.004954822657322937,1,5
pt6,tfidf_svd,spectral,0.8166757048303462,0.8393884762795076,0.9174603174603174,0.01966720610943517,6,0
pt6,tfidf_svd,hdbscan,0.0,0.0,0.18412698412698414,,0,315
pt6,sbert,kmeans,0.6053857212726663,0.7300020255611672,0.7555555555555555,0.11688382923603058,6,0
pt6,sbert,gmm,0.6130419706256003,0.7124406582983749,0.7968253968253968,0.09770604968070984,6,0
pt6,sbert,agglomerative,0.5770469958503195,0.7183987277712375,0.7428571428571429,0.10770352929830551,6,0
pt6,sbert,dbscan,0.0029541292205629926,0.0550864054018095,0.21587301587301588,0.224659264087677,1,11
pt6,sbert,spectral,0.6865634862168252,0.7638186485567731,0.8126984126984127,0.07466455549001694,6,0
pt6,sbert,hdbscan,0.0,0.0,0.18412698412698414,,0,315
pt6,gte,kmeans,0.7986193705724985,0.8153193981027241,0.9079365079365079,0.09872965514659882,6,0
pt6,gte,gmm,0.6607895127900658,0.729002886167128,0.7873015873015873,0.09126467257738113,6,0
pt6,gte,agglomerative,0.6504562615003094,0.6996365346138884,0.8222222222222222,0.08516324311494827,6,0
pt6,gte,dbscan,-0.0009393875414617956,0.020902718380301378,0.18412698412698414,0.02101871557533741,2,4
pt6,gte,spectral,0.5384496238540879,0.6968597064851909,0.7142857142857143,0.09095129370689392,6,0
pt6,gte,hdbscan,0.06812876294284412,0.2607838792520746,0.3746031746031746,-0.0035019360948354006,3,224
pt6,bge,kmeans,0.941041953782688,0.9349687897663981,0.9746031746031746,0.11613957583904266,6,0
pt6,bge,gmm,0.9405838821947732,0.9348658345882588,0.9746031746031746,0.1158413514494896,6,0
pt6,bge,agglomerative,0.7559676939143631,0.7952778916218047,0.8857142857142857,0.10235907882452011,6,0
pt6,bge,dbscan,-6.506272569257704e-06,0.018508814418498724,0.19682539682539682,0.05168640986084938,1,6
pt6,bge,spectral,0.760056730562405,0.8479768552062972,0.8380952380952381,0.1005251482129097,6,0
pt6,bge,hdbscan,0.12146958521546133,0.30905770879613653,0.39365079365079364,0.002417283598333597,3,176
